page_id,element,composition,prompt,status
FS001-001,crystal,nested,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with adult coloring book line art of repeating crystal motifs, motifs nested concentrically within each other as one unified form, not split into multiple repeated medallions, with moderate detail, large easy-to-color regions, not edge-to-edge, asymmetric, organic arrangement, moderately sized motifs, not tiny or fussy, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework on pure white background, no texture or noise, strong visual rhythm, full-page portrait composition with a solid black border with square corners, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-002,icicle,interlocking,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with adult coloring book line art featuring repeating icicle motifs as shapes directly interlocking across the full page as one continuous design, not isolated into separate framed compartments, loose, imperfect symmetry, rendered with light detail, large shapes with open space between them, large uniform shapes, evenly sized for easy coloring, a solid black border with square corners, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework, pure white background, no texture or noise, richly patterned and colorable, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-003,pinecone,alternating_bands,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with an ornamental pattern of repeating pinecone motifs built as horizontal bands stacked top to bottom spanning the full page width, not a 2x2 grid of framed sections, intricate detail, but regions still large enough to color easily, tiled grid symmetry, not a kaleidoscope, large dominant forms, minimal small detail, framed with a solid black border with square corners, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework on pure white background, no texture or noise, adult coloring book line art, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-004,icicle,geometric_lattice,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework depicting repeating icicle motifs, one continuous interlocking geometric mesh spanning the full page edge to edge, not broken into separate framed sections, with medium-large motifs, generous coloring space, light detail, large shapes with open space between them, four-way grid symmetry, not a kaleidoscope, a solid black border with square corners, pure white background, no texture or noise, adult coloring book line art, strong decorative rhythm, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-005,pinecone,clustered,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with adult coloring book line art of repeating pinecone motifs, composed as a few irregular organic clusters of varying size scattered unevenly across the page, not four identical evenly-spaced medallions, medium-large motifs, generous coloring space, loose, imperfect symmetry, dense detail but large simple regions, not fully packed, a solid black border with square corners, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework, pure white background, no texture or noise, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-006,vine,alternating_bands,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with repeating vine motifs rendered as horizontal bands stacked top to bottom spanning the full page width, not a 2x2 grid of framed sections, loose, imperfect symmetry with large uniform shapes, evenly sized for easy coloring, light detail, large shapes with open space between them, a solid black border with square corners, adult coloring book line art, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework, pure white background, no texture or noise, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-007,snowflake,clustered,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with adult coloring book line art of repeating snowflake motifs, a few irregular organic clusters of varying size scattered unevenly across the page, not four identical evenly-spaced medallions, with intricate detail, but regions still large enough to color easily, subtle rotational repeat, not a mandala, large uniform shapes, evenly sized for easy coloring, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework on pure white background, no texture or noise, strong visual rhythm, full-page portrait composition with a solid black border with square corners, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-008,bud,organic_all_over,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with adult coloring book line art featuring repeating bud motifs as one continuous organic pattern flowing edge to edge across the whole page, not a grid of repeated framed medallions, subtle rotational repeat, not a mandala, rendered with light detail, large shapes with open space between them, medium-large motifs, generous coloring space, a solid black border with square corners, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework, pure white background, no texture or noise, richly patterned and colorable, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-009,vine,clustered,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with an ornamental pattern of repeating vine motifs built as a few irregular organic clusters of varying size scattered unevenly across the page, not four identical evenly-spaced medallions, light detail, large shapes with open space between them, tiled grid symmetry, not a kaleidoscope, large bold motifs, easy to color, framed with a solid black border with square corners, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework on pure white background, no texture or noise, adult coloring book line art, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-010,snowflake,nested,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework depicting repeating snowflake motifs, motifs nested concentrically within each other as one unified form, not split into multiple repeated medallions, with mostly large shapes with a few small accents, light detail, large shapes with open space between them, loose, imperfect symmetry, a solid black border with square corners, pure white background, no texture or noise, adult coloring book line art, strong decorative rhythm, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
